Image Name,Most Related Type,Second Related Type,Least Related Type
butterfly,벌레,페어리,격투
ladybug,벌레,독,바위
bear,땅,격투,비행
chimpanzee,격투,불꽃,벌레
crab,물,강철,불꽃
deer,풀,전기,고스트
duck,물,노말,격투
eagle,비행,전기,땅
fox,에스퍼,땅,전기
flamingo,비행,드래곤,바위
horse,땅,노말,에스퍼
panda,노말,노말,얼음
orca,물,드래곤,불꽃
penguin,얼음,고스트,격투
shark,물,노말,벌레
snake,땅,독,격투
Adélie penguin,물,얼음,격투
baby emperor penguin,물,얼음,격투
chicken,풀,비행,드래곤
gorilla,노말,풀,페어리
crow,비행,악,드래곤
Eurasian lynx,땅,얼음,벌레
giraffe,풀,땅,격투
goldfish,물,노말,불꽃
Long-tailed tit,비행,페어리,드래곤
octopus,물,독,풀
Northern goshawk,비행,에스퍼,얼음
snail,벌레,땅,전기
wolf,악,에스퍼,비행
flying squirrel,전기,페어리,격투